tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt25227896	tvMiniSeries	Inside HVA - A German Service in the Cold War	Inside HVA - Ein deutscher Dienst im Kalten Krieg	0	2019	2019	\N	Documentary
tt21929180	tvSeries	Natsi-Saksa ja Suomi	Natsi-Saksa ja Suomi	0	2022	2022	113	Documentary,History
tt2342748	tvSeries	Sasami-san@Ganbaranai	Sasami-san@Ganbaranai	0	2013	2013	\N	Animation,Comedy,Romance
tt3511610	tvMiniSeries	Apokalipsis. Poslednie chisla Mayya	Apokalipsis. Poslednie chisla Mayya	0	2012	2012	50	Documentary
tt23131690	tvSeries	Taftish	Taftish	0	2022	2022	\N	Mystery
tt8629186	tvMiniSeries	Cat Street	Cat Street	0	2008	2008	\N	Drama
tt6932536	tvSeries	Crises Inúteis	Crises Inúteis	0	2016	2016	\N	Comedy
tt7115786	tvMiniSeries	Agora Somos 2	Agora Somos 2	0	2017	2017	\N	Comedy
tt0108994	tvSeries	Zwei alte Hasen	Zwei alte Hasen	0	1994	1995	45	Comedy,Crime
tt27442241	tvMiniSeries	Aspergirl	Aspergirl	0	2023	2023	\N	Comedy
tt27412438	tvSeries	The Road Home	The Road Home	0	2009	2009	\N	Drama
tt26756349	tvSeries	Hidden Game	Bazi-ye Penhan	0	2000	2000	\N	\N
tt2028564	tvSeries	The Doc Club with Rosie O'Donnell	The Doc Club with Rosie O'Donnell	0	2011	2011	\N	Talk-Show
tt2276210	tvSeries	The Hollywood Fast Lane	The Hollywood Fast Lane	0	2012	2013	30	News
tt9133840	tvSeries	2010 Under-19 Cricket World Cup	2010 Under-19 Cricket World Cup	0	2010	2010	\N	Sport
tt21273072	tvSeries	Legendy kriminalistiky	Legendy kriminalistiky	0	2017	2022	30	Crime,Documentary
tt7682356	tvMiniSeries	Un voto por la democracia 1824-2003	Un voto por la democracia 1824-2003	0	2003	2003	42	Documentary
tt16861124	tvSeries	Poker Night	Poker Night	0	2000	2000	\N	Animation,Comedy,Crime
tt0759238	tvMiniSeries	O Posto	O Posto	0	1990	1990	25	Comedy
tt0383106	tvSeries	Guerra de los sexos	Guerra de los sexos	0	2000	2013	120	Action,Adventure,Family
tt14707994	tvSeries	Eddie's Alphabet	Eddie's Alphabet	0	1968	1968	2	Animation
tt13850510	tvSeries	Wir sind Kaiser*in - Neues aus der Hofkanzlei	Wir sind Kaiser*in - Neues aus der Hofkanzlei	0	2021	2021	30	Comedy
tt13118954	tvMiniSeries	DA Club	DA Club	0	2020	2020	\N	Action,Comedy
tt4501704	tvSeries	Barchords	Barchords	0	2000	2006	30	Music
tt0120982	tvSeries	Little Shop	Little Shop	0	1991	1991	30	Animation,Comedy,Family
tt14384662	tvSeries	Ultimate Performance	Ultimate Performance	0	2021	2021	4	Talk-Show
tt1730591	tvSeries	P.X.G.	P.X.G.	0	2005	2007	\N	Comedy
tt8032590	tvSeries	Bornebusch i tevefabriken	Bornebusch i tevefabriken	0	2016	2016	\N	Documentary
tt28454742	tvSeries	Shuddhikaran	Shuddhikaran	0	2023	2023	\N	Romance
tt0783336	tvSeries	Entertainment Watch	Entertainment Watch	0	1988	1989	\N	News
tt0485298	tvSeries	The Head Table	The Head Table	0	2004	2005	\N	Reality-TV
tt9606956	tvMiniSeries	Dell Small Business	Dell Small Business	0	2017	2018	\N	Short
tt18182056	tvMiniSeries	House Nigg(ER)	House Nigg(ER)	0	2022	2022	\N	Drama
tt10207976	tvSeries	Art Attack	Art Attack	0	2012	2012	\N	Family
tt7552618	tvMiniSeries	A Drivers' Dream	A Drivers' Dream	0	2016	2017	132	Reality-TV
tt28244914	tvSeries	Jia he wan shi xian zhi qing gui long nian	Jia he wan shi xian zhi qing gui long nian	0	2000	2000	\N	Drama
tt7901388	tvSeries	Alcheringa	Alcheringa	0	1962	1962	15	Documentary,Drama,History
tt4597706	tvSeries	Code Geass: Abridging the Rebellion	Code Geass: Abridging the Rebellion	0	2015	2015	\N	Comedy
tt2114697	tvSeries	Fanthomas	Fanthomas	0	2009	2010	85	Animation
tt6393584	tvSeries	Doble Tentación	Doble Tentación	0	2017	2017	\N	Reality-TV
tt13111040	tvMiniSeries	The Offer	The Offer	0	2022	2022	586	Biography,Drama
tt20880694	tvMiniSeries	Pokémon Sweets Paradise	Pokémon Sweets Paradise	0	2022	2022	\N	Adventure,Animation,Family
tt8418122	tvSeries	Interview	Interview	0	2018	2019	\N	Talk-Show
tt0224844	tvSeries	Castle Haven	Castle Haven	0	1969	1970	30	Drama
tt8589702	tvMiniSeries	APOCALYPSE War of Worlds 1945-1991	Apocalypse La Guerre Des Mondes 1945-1991	0	2019	2019	312	Documentary,History,War
tt9766450	tvSeries	Lodgers for Old Codgers	Lodgers for Old Codgers	0	2020	2020	60	\N
tt0396352	tvSeries	Now on PBS	Now with Bill Moyers	0	2002	2010	60	Documentary,News
tt28761994	tvMiniSeries	Gakkou No Yuurei	Gakkou No Yuurei	0	1995	1997	192	Animation,Drama,Horror
tt0188332	tvSeries	Les girouettes	Les girouettes	0	1981	1983	30	\N
tt0115101	tvSeries	Arli$$	Arli$$	0	1996	2002	30	Comedy,Sport
tt29471789	tvSeries	Hofi tükre	Hofi tükre	0	2002	2011	30	Comedy
tt30768567	tvSeries	They Came from Nowhere!	They Came from Nowhere!	0	2010	2010	45	Comedy
